,RunId,CODC,RMSEC,NRMSEC,NSEC,PBIASC,IOAC,OF1C,OF2C,CODV,RMSEV,NRMSEV,NSEV,PBIASV,IOAV,OF1V,OF2V,SCALE
Objective Function,89264,0.6602709699117808,2.2706028887495457,5.654176122295154,0.659045180534855,-0.0301432130380259,0.8903706633744816,0.6303189789676267,0.603142771293201,0.2552109716579088,3.12251995791248,10.700108877476808,0.252949939562939,26.169320854360222,0.6002328768367102,26.67978183242157,26.523639898814952,daily
NSE,2913,0.6973054524258555,2.156407728035464,5.369811315842008,0.6924779785960271,-8.45974133228261,0.907961822206689,8.96501726351164,8.803655823456323,0.2675245115306164,3.179398937322385,10.895019168116752,0.2254859348992389,0.2887748743529972,0.6611376553996489,1.1054582033932774,1.234265368678092,daily
PBIAS,81359,0.6280510410413818,2.455155596865996,6.113742839446476,0.6013676833321666,6.48817834986407e-05,0.8841268866475961,0.6395096636369996,0.6390681667908776,0.2820405364453154,3.2116019220298093,11.005370886342286,0.2097169309779561,3.6662329244177614,0.6844142169035157,4.240524037154543,4.1396308254036045,daily
COD,2913,0.6973054524258555,2.156407728035464,5.369811315842008,0.6924779785960271,-8.45974133228261,0.907961822206689,8.96501726351164,8.803655823456323,0.2675245115306164,3.179398937322385,10.895019168116752,0.2254859348992389,0.2887748743529972,0.6611376553996489,1.1054582033932774,1.234265368678092,daily
Objective Function,71769,0.7937023603043076,13.024098652868226,1.0655328534546848,0.7936103902406695,0.0101834856723687,0.9408186500122476,0.5503488530645058,0.4507318405664489,0.6805453747881115,17.56307758643311,1.977485873782619,0.6728887355205524,-0.7307171832658784,0.885219939614184,1.273446726225813,1.158126305198902,monthly
NSE,18779,0.8806869078569983,9.989216540653116,0.8172418443709206,0.8785897563221159,-9.768933004673658,0.9678568595901318,10.26965070008449,10.103700372895856,0.6957280039284441,17.183831743501013,1.934785311002648,0.6868630743798358,-24.139675787002776,0.8948363972470249,24.6416654798899,24.47690363558746,monthly
PBIAS,81359,0.7218556766952356,15.275870443011112,1.2497557225245013,0.7160744940783513,6.488178349904439e-05,0.9194387275679184,0.5750465884656729,0.5187796520128937,0.6222773351816686,19.43284017230647,2.1880087210851884,0.5995329231976825,3.666232924417757,0.8403288571879358,4.185435540072875,4.037273652015815,monthly
COD,18779,0.8806869078569983,9.989216540653116,0.8172418443709206,0.8785897563221159,-9.768933004673658,0.9678568595901318,10.26965070008449,10.103700372895856,0.6957280039284441,17.183831743501013,1.934785311002648,0.6868630743798358,-24.139675787002776,0.8948363972470249,24.6416654798899,24.47690363558746,monthly
Objective Function,43358,0.6683072637768531,47.13831154144467,0.3213748921806714,0.5866838397408722,0.0046213783129065,0.8994714864458037,0.6522829016475648,0.6285409347993496,0.7331252768784329,55.54394857102963,0.543815622551874,0.6077791295642598,25.28045340933861,0.8511354358230845,25.783436838448907,25.618179689980387,yearly
NSE,57460,0.788316140514936,40.939266525967,0.2791116596140853,0.6882442614343844,-8.07910911098059,0.9308701950582132,8.584771678888075,8.420878195045308,0.7631750741883431,46.0012800072605,0.4503859622680712,0.7309722797027989,11.799650713865384,0.9076193750830612,12.302592555936233,12.13827680724709,yearly
PBIAS,81359,0.4371122783044871,61.973765915235695,0.4225185775168866,0.2855857374828109,6.488178350025546e-05,0.8025061957000211,0.8720393480119606,0.9687025836481674,0.7608429416660544,44.589182124047205,0.4365604977625761,0.7472354225277018,3.666232924417761,0.9135733163623116,4.173893471583495,4.014675115163963,yearly
COD,20834,0.8012084947391593,44.290328636463386,0.3019581975836229,0.6351182459761764,-14.834228844170422,0.9221094900963274,15.338569455454692,15.173252754944334,0.6998763535782654,48.74491150702929,0.4772481085591599,0.6979243132547697,3.616691847110417,0.9010321087752377,4.127759862757035,3.972911130368229,yearly
